,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9865,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19225950.0,19225950.0,,1,,,,2022-12-06T14:52:00.000Z,17005.468768450773,19567857671.47302,-8.9021,-0.03727938,-1.30197711,3.36467739,-19.92586305,-13.53249531,-10.0859353,326946292268.79614,38.3849,357114844137.47,,2022-12-06T14:52:00.000Z,,,,,,2022-12-06 14:53:55.624074+00:00
1,1027,Ethereum,ETH,ethereum,6260,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2178,122373866.2178,,2,,,,2022-12-06T14:52:00.000Z,1255.8366863680253,5528768467.29882,-5.2159,-0.14888002,-2.43792943,3.51107397,-22.83302548,-6.36460002,-18.63162933,153681590649.00598,18.0429,153681590649.01,,2022-12-06T14:52:00.000Z,,,,,,2022-12-06 14:53:55.624074+00:00
2,825,Tether,USDT,tether,44190,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,65576715611.096825,73141766321.23428,,3,,,,2022-12-06T14:51:00.000Z,1.0000569528608547,25982235764.34259,-3.1207,-0.00240495,-0.00432984,0.03288296,-0.00040738,-0.00236779,-0.00312231,65580450392.656334,7.7004,73145931954.07,,2022-12-06T14:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-12-06 14:53:55.624074+00:00
3,1839,BNB,BNB,bnb,1149,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",200000000.0,159969399.80770272,159979963.59042934,,4,,,,2022-12-06T14:52:00.000Z,288.86870546649743,599866100.3629324,-9.6081,0.09977928,-1.48036885,-4.06674362,-17.63679693,1.72576928,8.11783726,46210153436.70365,5.4253,57773741093.3,,2022-12-06T14:52:00.000Z,,,,,,2022-12-06 14:53:55.624074+00:00
4,3408,USD Coin,USDC,usd-coin,8698,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,43277505822.43587,43277505822.43587,,5,,,,2022-12-06T14:51:00.000Z,1.000111285399066,2232547493.5899596,-1.7871,0.01120489,0.01169683,-0.01097685,0.01260569,0.00983787,0.00761314,43282321976.941895,5.0794,43282321976.94,,2022-12-06T14:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-12-06 14:53:55.624074+00:00
5,4687,Binance USD,BUSD,binance-usd,5681,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin']",,22100085744.154423,22100085744.154423,,6,,,,2022-12-06T14:51:00.000Z,1.0003119852052114,5561887441.548959,2.4916,0.00422538,0.02312041,0.03853441,0.00750535,0.05354883,-0.01265778,22106980643.940502,2.5943,22106980643.94,,2022-12-06T14:51:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-12-06 14:53:55.624074+00:00
6,52,XRP,XRP,xrp,854,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50260446248.0,99989199669.0,,7,,,,2022-12-06T14:52:00.000Z,0.3875705272864346,890796220.5606859,23.2881,0.22631743,-1.48973803,-1.38055775,-20.86782383,-21.03070609,19.5922891,19479467653.988865,2.286,38757052728.64,,2022-12-06T14:52:00.000Z,,,,,,2022-12-06 14:53:55.624074+00:00
7,74,Dogecoin,DOGE,dogecoin,608,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,8,,,,2022-12-06T14:52:00.000Z,0.10063962420697188,630644458.1983317,-33.3606,-0.23841087,-3.9092883,-1.67773005,-19.91789653,61.36189172,67.37967524,13351935862.393082,1.5671,13351935862.39,,2022-12-06T14:52:00.000Z,,,,,,2022-12-06 14:53:55.624074+00:00
8,2010,Cardano,ADA,cardano,603,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34459298230.168,35212260956.882,,9,,,,2022-12-06T14:51:00.000Z,0.316269329537559,181281597.63128874,-1.4657,-0.2597394,-2.87456672,2.19462216,-25.43957466,-25.50380348,-32.21156275,10898419147.590027,1.279,14232119829.19,,2022-12-06T14:51:00.000Z,,,,,,2022-12-06 14:53:55.624074+00:00
9,3890,Polygon,MATIC,polygon,544,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,8734317475.28493,10000000000.0,,10,,,,2022-12-06T14:52:00.000Z,0.9094791123967555,272392887.6932281,11.7277,-0.19405904,-2.15892406,8.82829861,-22.46966666,8.32493965,11.54747382,7943679304.813608,0.9326,9094791123.97,,2022-12-06T14:52:00.000Z,,,,,,2022-12-06 14:53:55.624074+00:00
